Title,Status,Price,Wishlist,Character,Series,Category,Manufacturer
[REVIVE] PVC Figure 1/7 Saber / Arthuria Pendragon Deluxe Edition (Re-Release),Late Pre-Order,3950000,101,Saber,Fate,Scaled Figure,ANIPLEX+
PVC 1/8 Yae Sakura - Flame Sakitama Ver.,Ready Stock,3450000,101,Yae Sakura,Honkai Impact 3,Scaled Figure,Mihoyo
PVC Figure Nanami Kento - Jujutsu Kaisen (18cm),Sold Out,290000,101,Nanami Kento,Jujutsu Kaisen,Prize Figure,Bandai Spirits
[REVIVE] LookUp / Rukappu Figure Kageyama Tobio - Haikyuu!!,Sold Out,720000,101,Kageyama Tobio,Haikyu!!,Lookup,MegaHouse
[With Bonus] PVC Figure 1/7 Bronya Zaychik - Silverwing: N-EX Ver. Honkai Impact 3rd,Pre-Order,3200000,101,Bronya Zaychik,Honkai Impact 3,Scaled Figure,HOBBY MAX
(Per pack) Genshin Impact Wafer Card 2,Sold Out,40000,100,Hu Tao,Genshin Impact,Merchandise - Stationery,Bandai
Nendoroid Doctor - Arknights,Ready Stock,880000,100,Doctor,Arknights,Nendoroid,Good Smile Arts Shanghai
Artist Master Piece Figure Rem - Winter Maid Image Ver. (27cm),Ready Stock,500000,100,Rem,Re:Zero Kara Hajimeru Isekai Seikatsu,Prize Figure,Taito
[REVIVE] [Cast Off] PVC Figure 1/6 Koakuma Riasu-chan illustration by Ayuma Sayu (Re-Release),Late Pre-Order,3850000,100,Koakuma Riasu-chan,Original Character,Scaled Figure,Bishop's Rondo
Xiao Alatus Teyvat Zoo Series Key Chain Plush Mascot (10cm) - Genshin Impact,Ready Stock,230000,100,Xiao,Genshin Impact,Merchandise - Plush,Mihoyo
Coreful Figure Miku Nakano - Renewal Seifuku Ver. (20cm),Ready Stock,350000,100,Miku Nakano,Gotoubun no Hanayome,Prize Figure,Taito
Nendoroid Skadi - Arknights,Ready Stock,820000,100,Skadi,Arknights,Nendoroid,Good Smile Arts Shanghai
PVC Figure 1/7 Shirogane Noel - Swimsuit Ver. hololive production,Late Pre-Order,2180000,100,Shirogane Noel,Hololive,Scaled Figure,Good Smile Company
PVC Figure 1/7 Nishikigi Chisato - Lycoris Recoil,Late Pre-Order,1750000,100,Nishikigi Chisato,Lycoris Recoil,Scaled Figure,Good Smile Company
[Exclusive Sale] Nendoroid Sakura Miko - hololive production (Re-Release),Ready Stock,900000,100,Sakura Miko,hololive production,Nendoroid,Max Factory
Nendoroid Gon Freecss - Hunter X Hunter (Re-Release),Ready Stock,700000,99,Gon Freecss,Hunter X Hunter,Nendoroid,Good Smile Company
Shueisha Jump Manga Jujutsu Kaisen Vol. 11 - Gege Akutami,Ready Stock,180000,99,Itadori Yuji,Jujutsu Kaisen,Japanese Manga,Shueisha
PVC Figure 1/8 Jibril - Great War Ver.,Sold Out,2250000,99,Jibril,No Game No Life,Scaled Figure,Good Smile Company
[REVIVE] PVC Figure 1/7 Snow Miku - Snow Princess Ver.,Late Pre-Order,3400000,99,Hatsune Miku,Vocaloid,Scaled Figure,Good Smile Company
[REVIVE] [Cast Off] PVC Figure 1/4 Yuri & Stella - Bountiful Year Ver.,Late Pre-Order,9750000,99,Yuri,Original Character,Scaled Figure,BINDing
Super Premium Figure Emilia - Puck Ver. (20cm),Ready Stock,380000,99,Emilia,Re:Zero Kara Hajimeru Isekai Seikatsu,Prize Figure,SEGA
DXF Figure Monkey D. Luffy - The Grandline Series Wanokuni Vol. 2 (18cm),Ready Stock,460000,100,Monkey D. Luffy,One Piece,Prize Figure,Banpresto
Herrscher of Flamescion Backpack Honkai Impression - Honkai Impact 3rd,Sold Out,840000,99,Herrscher of Flamescion,Honkai Impact 3rd,Merchandise - Backpack,Mihoyo
